timestamp,speed,temperature,density,pressure,sigma-B,ICME,Area
0,326,39168.0,3.9,0.83,1.4,0,37219
1,335,34773.0,4.4,0.85,2.8,0,36727
2,330,24637.0,4.0,0.75,2.1,0,37028
3,341,34055.0,5.9,1.17,2.9,0,36682
4,341,32663.0,7.1,1.41,1.4,0,36790
5,342,35319.0,7.4,1.48,1.4,0,35271
6,346,39437.0,7.6,1.56,2.0,0,36314
7,343,38534.0,7.9,1.59,1.6,0,35123
8,348,38228.0,7.1,1.47,1.9,0,35712
9,347,34558.0,7.1,1.46,2.6,0,35615
10,341,39203.0,6.9,1.37,2.0,0,35898
11,339,37338.0,6.7,1.32,1.6,0,37342
12,334,37046.0,6.5,1.24,1.0,0,36786
13,328,36553.0,6.2,1.15,1.3,0,36529
14,322,32635.0,5.6,1.0,1.1,0,35964
15,324,28397.0,6.0,1.08,2.2,0,36390
16,326,21998.0,6.5,1.18,1.8,0,37447
17,325,19899.0,6.4,1.15,1.7,0,36965
18,316,20441.0,6.9,1.18,2.1,0,36582
19,307,18281.0,6.0,0.97,0.8,0,37443
20,305,19013.0,6.2,0.99,0.8,0,36898
21,300,16425.0,5.2,0.81,0.5,0,37025
22,303,20520.0,5.2,0.85,0.9,0,37362
23,303,22813.0,5.9,0.93,1.1,0,37308
24,307,19279.0,5.6,0.9,2.0,0,37725
25,325,31377.0,10.9,1.95,1.7,0,36838
26,335,32213.0,17.0,3.24,3.0,0,36572
27,337,21928.0,13.1,2.51,4.4,0,36738
28,336,24686.0,12.0,2.28,0.6,0,36007
29,335,27016.0,11.6,2.19,0.6,0,35951
30,331,22818.0,13.1,2.42,0.7,0,36155
31,330,42469.0,11.8,2.2,4.2,0,35829
32,350,68337.0,9.9,2.07,1.5,0,36654
33,349,69212.0,10.0,2.08,1.5,0,36169
34,335,51307.0,9.5,1.83,1.4,0,36201
35,333,46265.0,11.7,2.24,2.1,0,36349
36,338,47938.0,10.1,2.0,2.3,0,36504
37,339,55553.0,9.8,1.94,1.5,0,36180
38,331,50876.0,8.8,1.67,1.9,0,35484
39,338,47461.0,9.8,1.93,1.0,0,36622
40,330,47536.0,7.6,1.46,2.5,0,37106
41,336,58974.0,7.7,1.52,3.2,0,37967
42,354,84968.0,6.9,1.54,2.2,0,38331
43,357,46234.0,9.0,1.98,1.1,0,38531
44,361,28939.0,11.8,2.61,1.0,0,38878
45,358,22551.0,9.8,2.13,1.5,0,38707
46,350,34431.0,6.1,1.28,1.0,0,38722
47,347,45166.0,5.2,1.1,0.5,0,38931
48,340,48809.0,5.0,1.01,1.2,0,38660
49,340,55106.0,6.1,1.23,0.8,0,38396
50,336,31180.0,6.4,1.24,1.0,0,38270
51,335,21660.0,7.8,1.5,0.4,0,37539
52,347,15937.0,9.1,1.86,0.8,0,37522
53,349,15743.0,10.1,2.1,0.3,0,37052
54,347,14211.0,10.9,2.23,0.6,0,37272
55,344,14865.0,11.5,2.32,0.7,0,37174
56,343,16158.0,13.5,2.71,0.6,0,37420
57,338,16832.0,13.9,2.74,0.5,0,37913
58,327,23275.0,13.9,2.58,1.1,0,38214
59,322,27917.0,19.0,3.45,1.3,0,37050
60,318,33083.0,18.8,3.3,3.2,0,37848
61,310,29331.0,8.2,1.38,2.6,0,37661
62,307,25789.0,8.5,1.42,2.0,0,37514
63,337,51714.0,13.7,2.73,1.1,0,37901
64,348,64507.0,14.5,3.09,3.7,0,38205
65,355,66503.0,13.9,3.11,3.2,0,38910
66,352,60939.0,11.5,2.57,2.9,0,38901
67,384,123066.0,9.1,2.46,4.7,0,39384
68,376,125063.0,7.1,1.87,4.6,0,39589
69,374,120297.0,7.6,1.97,5.2,0,39541
70,376,89066.0,6.3,1.65,4.2,0,39044
71,384,91780.0,8.3,2.25,3.7,0,38780
72,384,110795.0,8.1,2.23,2.9,0,38496
73,393,118412.0,8.8,2.54,3.1,0,38665
74,401,129873.0,10.6,3.21,4.3,0,38442
75,399,113721.0,9.2,2.75,2.7,0,38087
76,404,105466.0,7.5,2.33,2.5,0,37928
77,414,102584.0,6.9,2.24,3.6,0,37938
78,429,74474.0,5.8,2.02,1.5,0,37830
79,424,65699.0,5.0,1.69,0.8,0,37720
80,423,63406.0,5.2,1.75,0.7,0,37518
81,418,58887.0,5.2,1.68,0.5,0,38040
82,416,58077.0,4.7,1.5,0.5,0,38131
83,421,62414.0,4.3,1.44,0.9,0,37736
84,429,69166.0,4.2,1.48,1.5,0,38467
85,428,60858.0,4.1,1.43,0.5,0,39209
86,426,63077.0,4.2,1.48,1.1,0,38652
87,424,64198.0,4.6,1.6,0.4,0,38737
88,417,62928.0,4.6,1.54,0.8,0,38859
89,410,68199.0,4.8,1.55,1.3,0,39353
90,406,67113.0,5.0,1.57,0.8,0,39451
91,408,63066.0,4.6,1.45,1.3,0,40270
92,406,63810.0,3.9,1.22,0.6,0,39880
93,401,70484.0,4.2,1.28,1.1,0,40731
94,398,65692.0,4.0,1.2,1.0,0,40386
95,392,61398.0,3.5,1.03,0.8,0,40420
96,401,56074.0,3.4,1.03,0.6,0,39852
97,404,55372.0,2.8,0.86,0.8,0,39941
98,392,45615.0,2.9,0.83,0.9,0,39883
99,382,46867.0,3.5,0.96,1.1,0,39821
100,375,41809.0,3.6,0.94,1.5,0,39486
101,364,37290.0,3.8,0.92,0.9,0,39372
102,354,36484.0,3.8,0.87,0.5,0,39524
